Species,vertextype
Abyssianira_argentenensis,0
Abyssianira_dentifrons,0
Abyssianira_spp,0
Acanthoserolis_schythei,1
Acodontaster_elongatus,0
Acodontaster_sp,1
Actinauge_longicornis,2
Actinostola_crassicornis,2
Adelomelon_ancilla,1
Advenogonium_fuegiae,0
Aega_semicarinata,1
Aglaophamus_virginis,1
Agonopsis_chiloensis,1
Alcyonium_antarcticum,2
Allorostrata_ovalis,0
Allorostrata_scutifrons,0
Amblyraja_doellojuradoi,2
Amblyraja_georgiana,0
Ampharete_kerguelensis,1
Anasterias_antarctica,0
Anasterias_sp,0
Andaniotes_linearis,0
Anobothrus_sp,1
Antarcturidae,1
Anthoptilum_grandiflorum,2
Aplidium_spp,2
Appendicularia_spp,1
Arctocephalus_australis,2
Ardenna_gravis,0
Ardenna_grisea,0
Argeneuthria_varicosa,1
Aristias_antarcticus,0
Asbestopluma_sp,2
Ascidia_meridionalis,1
Astarte_sp,1
Astrotoma_agassizii,2
Austrocidaris_canaliculata,1
Austrocidaris_spinulosida,1
Austrodoris_sp,2
Austrofilius_furcatus,0
Austrofilius_sp,0
Austronanus_dentatus,0
Azadinium_sp,1
Bacteria,0
Balaenoptera_acutorostrata,2
Balaenoptera_bonaerensis,2
Balaenoptera_borealis,2
Balaenoptera_physalus,2
Balticina_africana,2
Bathybiaster_loripes,1
Bathyraja_albomaculata,1
Bathyraja_brachyurops,1
Bathyraja_cousseauae,0
Bathyraja_griseocauda,2
Bathyraja_macloviana,0
Bathyraja_multispinis,1
Bathyraja_scaphiops,1
Boccardia_sp,1
Bolocera_kerguelensis,2
Brachiopoda_spp,2
Bryozoa,2
Caecianiropsis_ectiformis,0
Calanus_spp,1
Calcarea,2
Calliostoma_spp,2
Callochiton_puniceus,0
Campanularia_sp,2
Campylaspis_spp,1
Campylonotus_vagans,1
Careproctus_sp,0
Ceramaster_patagonicus,0
Chaetopterus_antarcticus,0
Cheiraster_(Luidiaster)_gerlachei,0
Cirratulidae,1
Cladodactyla_crocea,0
Clathria_spp,2
Clausocalanus_spp,1
Clavularia_sp,2
Cnemidocarpa_spp,1
Coelorinchus_fasciatus,1
Coelorinchus_kayomaru,0
Coelorinchus_marinii,0
Colossendeis_megalonyx,1
Colpospirella_algida,2
Convexella_magelhaenica,2
Copepodite,1
Coperonus_comptus,0
Cosmasterias_lurida,0
Cottoperca_trigloides,1
Cottunculus_granulosus,0
Cryosignum_sp,0
Ctenocalanus_vanus,1
Ctenodiscus_australis,0
Cumella_argentinae,1
Cyclochlamys_argentina,1
Cyrtostrombidium_sp,2
Cystodytes_antarcticus,0
Dactylanthus_antarcticus,2
Daption_capense,0
Desmosoma_sp,0
Detritus,0
Diastylis_granulata,1
Diastylis_hammoniae,1
Diastylis_planifrons,1
Diatoms_benthic,2
Diatoms_centric,0
Diatoms_pennate,0
Dictyocha_speculum,1
Didemnum_studeri,1
Dinoflagellates_heterosol,1
Diomedea_sp,0
Diplasterias_brucei,1
Diplodontias_singularis,0
Diplopteraster_clarki,0
Dissostichus_eleginoides,2
Doryteuthis_gahi,2
Drepanopus_forcipatus,1
Eatoniella_spp,0
Echinozone_sp,0
Eggs_Fish,1
Ekleptostylis_heardi,1
Ekleptostylis_vemae,1
Emiliania_huxleyi,0
Enteroctopodidae,1
Epitonium_sp,1
Eteone_spp,0
Eubalaena_australis,2
Eucranta_sp,1
Eudorella_sp,1
Eudyptes_chrysocome,2
Eukrohnia_hamata,1
Eunereis_patagonica,1
Eunice_pennata,1
Euphausia_spp,1
Eurhomalea_sp,2
Eurypodius_latreillii,1
Eurypodius_longirostris,1
Eurypodius_sp,0
Falsilunatia_carcellesi,0
Flabellum_spp,2
Foraminifera,0
Fuegotrophon_pallidus,2
Fulmarus_glacialoides,0
Fusitriton_magellanicus,0
Genypterus_blacodes,2
Glabraster_antarctica,0
Globicephala_melas,2
Glycera_spp,1
Gorgonocephalus_chilensis,2
Grimothea_gregaria,1
Grimothea_spinosa,1
Guttigadus_kongi,0
Gymnodinium_sp,1
Gyrodinium_sp,0
Halicarcinus_planatus,1
Halichondrida,2
Haplocheira_barbimana_robusta,1
Haplosclerida,2
Harmothoe_sp,1
Hemilamprops_chilensis,1
Henricia_obesa,0
Henricia_studeri,0
Hermadion_magalhaensi,1
Hexactinellida,2
Hiatella_sp,1
Hippasteria_falklandica,0
Holostylis_uniramosa,1
Hormathia_pectinata,2
Hyalinoecia_artifex,0
Hyperoodon_planifrons,0
Ianiropsis_sp,0
Ianthopsis_laevis,1
Iathrippa_menziesi,0
Iathrippa_multidens,0
Iathrippa_sp,0
Idanthyrsus_macropaleus,1
Ideogorgia_laurae,2
Iluocoetes_fimbriatus,1
Isosicyonis_alba,2
Jassa_alonsoae,1
Joeropsis_curvicornis,0
Joeropsis_intermedius,0
Joeropsis_sp,0
Laboea_strobila,2
Laetmonice_producta,0
Lagenorhynchus_australis,0
Lagenorhynchus_cruciger,0
Lanice_sp,0
Larvae_Fish,1
Larvae_Nauplii,1
Latrunculia_sp,2
Lepidonotothen_squamifrons,1
Leptochiton_kerguelensis,0
Leptochiton_medinae,0
Leptychaster_sp,0
Leucon_septemdentatus,1
Leucothoe_spinicarpa,1
Libidoclaea_granaria,1
Limopsis_sp,1
Liotella_crassicostata,0
Lithodes_confundens,1
Lithodes_couesi,1
Lithodes_turkayi,1
Lohmanniella_sp,2
Lumbrineridae,0
Lysasterias_sp,1
Macrochiridothea_stebbingi,0
Macronectes_giganteus,2
Macronectes_halli,0
Macrourus_carinatus,0
Macrourus_holotrachys,1
Macrourus_whitsoni,0
Macruronus_novaezelandiae,2
Magelona_alleni,0
Maldanidae,1
Mancopsetta_maculata,1
Margarella_spp,2
Melanostigma_gelatinosum,1
Meridiosignum_menziesi,0
Meridiosignum_undulatum,0
Mesoplodon_bowdoini,0
Mesoplodon_grayi,0
Mesoplodon_layardii,0
Metepimeria_acanthurus,0
Micromesistius_australis,2
Moruloidea_darwinii,0
Munna_gallardoi,0
Munna_longipoda,0
Munna_pallida,0
Munnogonium_diplonychia,0
Munnogonium_falklandicum,0
Muraenolepis_spp,1
Myxine_spp,1
Natatolana_pastorei,1
Neasellus_argentinensis,0
Neasellus_bicarinatus,0
Necromass,0
Neocalanus_tonsus,1
Neojaera_antarctica,0
Neoserolis_exigua,1
Nephtys_sp,1
Nicolea_chilensis,1
Nicon_maculata,1
Nothria_anoculata,0
Notioceramus_anomalus,1
Notophycis_marginata,1
Nuttallochiton_hyadesi,0
Nuttallochiton_martiali,0
Obelia_spp,0
Oceanites_sp,0
Odontaster_penicillatus,0
Odontaster_sp,1
Odontasteridae,0
Odontocymbiola_magellanica,1
Odostomia_sp,1
Oenonidae,0
Oithona_spp,1
Onoba_spp,0
Onuphis_pseudoiridescens,0
Ophiacantha_sp,2
Ophiacantha_vivipara,2
Ophiactis_sp,2
Ophiocten_amitinum,2
Ophiolimna_antarctica,2
Ophioplinthus_confragosa,2
Ophioplinthus_inornata,2
Ophiura_lymani,2
Orbiniidae,2
Ornatoscalpellum_gibberum,0
Otaria_flavescens,2
Pachyptila_sp,0
Pagurus_comptus,1
Pagurus_forceps,1
Parabuccinum_politum,0
Paractis_laevis,2
Paralomis_granulosa,1
Paralomis_spinosissima,1
Paramunna_integra,0
Paraonidae,0
Parborlasia_corrugatus,1
Pareuthria_spp,2
Patagonotothen_cornucola,1
Patagonotothen_elegans,1
Patagonotothen_guntheri,1
Patagonotothen_kreffti,1
Patagonotothen_ramsayi,2
Pelagobia_longicirrata,0
Pelecanoides_sp,0
Pellilitorina_pellita,1
Pentactella_leonina,0
Pentactella_perrieri,0
Perknaster_fuscus,0
Perknaster_sp,1
Phaeocystis_antarctica,1
Phalacrocorax_atriceps,2
Phelliactis_sp,2
Phoxocephalus_sp,1
Pista_spp,1
Platytyphlops_sarahae,1
Pleurosignum_chilense,0
Pleurosignum_magnum,0
Poecilosclerida,2
Pogonolycus_elegans,1
Polycheria_spp,0
Polycitor_glareosus,0
Polyclinidae,0
Polydora_sp,1
Polyeunoa_laevis,0
Potamilla_sp,0
Primnoella_scotiae,2
Primnoisis_antarctica,2
Procellaria_aequinoctialis,0
Prosipho_crassicostatus,0
Protoperidinium_sp,0
Psammobatis_rudis,1
Pseudechinus_magellanicus,1
Pseudidothea_miersi,0
Pseudosagitta_gazellae,1
Psolus_antarcticus,1
Psolus_patagonicus,1
Psolus_segregatus,1
Psychrolutes_marmoratus,0
Pteraster_affinis,1
Pteraster_sp,0
Puncturella_conica,1
Pyura_spp,1
Quetzogonium_dentatum,0
Rectarcturus_kophameli,0
Rectarcturus_tuberculatus,0
Rhincalanus_gigas,1
Rhizosolenia_crassa,1
Rhodalia_miranda,2
Sabellidae,1
Salilota_australis,1
Salpa_thompsoni,1
Santia_compacta,0
Schizasteridae,1
Scissurella_clathrata,0
Seba_subantarctica,0
Serpula_spp,0
Serratosagitta_tasmanica,1
Spheniscus_magellanicus,2
Spiophanes_sp,1
Sporonana_sp,0
Sprattus_fuegensis,2
Squalus_acanthias,0
Stenothoidae,0
Sterechinus_agassizii,1
Strobilidium_sp,2
Strombidinopsis_sp,2
Strombidium_spp,2
Sycozoa_sigillinoides,1
Syllidae,0
Sympagurus_dimorphus,1
Synechococcus_sp,2
Tasmacetus_shepherdi,0
Tectonatica_impervia,0
Tedania_sp,2
Terebellides_malvinensis,1
Tetractinellida,2
Thalassarche_chrysostoma,0
Thalassarche_melanophris,0
Thelepus_sp,1
Themisto_gaudichaudii,0
Thouarella_spp,2
Thymops_birsteini,1
Tinerfe_cyanea,1
Tonicia_lebruni,0
Travisia_kerguelensis,1
Trophon_ohlini,2
Trophon_plicatus,2
Tryphosella_sp,1
Tryphosites_chevreuxi,0
Tulpa_tulipifera,2
Turbonilla_strebeli,1
Uromunna_nana,0
Uromunna_sp,0
Ziphius_cavirostris,0
Zygochlamys_patagonica,2
Fisheries,3
RawMat,4
HabitatForm,5
Biopurification,6
Ccycling,7
Csequestration,8
LTCV,9
Education,10